frame_id,timestamp [ns]
1,50000000
2,100000000
3,150000000
4,200000000
5,250000000
6,300000000
7,350000000
8,400000000
9,450000000
10,500000000
11,550000000
12,600000000
13,650000000
14,700000000
15,750000000
16,800000000
17,850000000
18,900000000
19,950000000
20,1000000000
21,1050000000
22,1100000000
23,1150000000
24,1200000000
25,1250000000
26,1300000000
27,1350000000
28,1400000000
29,1450000000
30,1500000000
31,1550000000
32,1600000000
33,1650000000
34,1700000000
35,1750000000
36,1800000000
37,1850000000
38,1900000000
39,1950000000
40,2000000000
41,2049999999
42,2100000000
43,2150000000
44,2200000000
45,2250000000
46,2300000000
47,2350000000
48,2400000000
49,2450000000
50,2500000000
51,2550000000
52,2600000000
53,2650000000
54,2700000000
55,2750000000
56,2800000000
57,2850000000
58,2900000000
59,2950000000
60,3000000000
61,3050000000
62,3100000000
63,3150000000
64,3200000000
65,3250000000
66,3300000000
67,3350000000
68,3400000000
69,3450000000
70,3500000000
71,3550000000
72,3600000000
73,3650000000
74,3700000000
75,3750000000
76,3800000000
77,3850000000
78,3900000000
79,3950000000
80,4000000000
81,4050000000
82,4099999999
83,4150000000
84,4200000000
85,4250000000
86,4300000000
87,4350000000
88,4400000000
89,4450000000
90,4500000000
91,4550000000
92,4600000000
93,4650000000